,Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price
2,01/01/2019,01:00,N,HB_HUBAVG,20.54
16,01/01/2019,02:00,N,HB_HUBAVG,19.82
30,01/01/2019,03:00,N,HB_HUBAVG,19.6
44,01/01/2019,04:00,N,HB_HUBAVG,19.25
58,01/01/2019,05:00,N,HB_HUBAVG,21.28
72,01/01/2019,06:00,N,HB_HUBAVG,22.63
86,01/01/2019,07:00,N,HB_HUBAVG,24.06
100,01/01/2019,08:00,N,HB_HUBAVG,24.72
114,01/01/2019,09:00,N,HB_HUBAVG,25.05
128,01/01/2019,10:00,N,HB_HUBAVG,24.88
142,01/01/2019,11:00,N,HB_HUBAVG,24.75
156,01/01/2019,12:00,N,HB_HUBAVG,25.41
170,01/01/2019,13:00,N,HB_HUBAVG,24.22
184,01/01/2019,14:00,N,HB_HUBAVG,22.93
198,01/01/2019,15:00,N,HB_HUBAVG,22.91
212,01/01/2019,16:00,N,HB_HUBAVG,22.81
226,01/01/2019,17:00,N,HB_HUBAVG,23.72
240,01/01/2019,18:00,N,HB_HUBAVG,31.29
254,01/01/2019,19:00,N,HB_HUBAVG,35.57
268,01/01/2019,20:00,N,HB_HUBAVG,31.05
282,01/01/2019,21:00,N,HB_HUBAVG,28.91
296,01/01/2019,22:00,N,HB_HUBAVG,27.4
310,01/01/2019,23:00,N,HB_HUBAVG,25.41
324,01/01/2019,24:00,N,HB_HUBAVG,23.87
338,01/02/2019,01:00,N,HB_HUBAVG,23.82
352,01/02/2019,02:00,N,HB_HUBAVG,23.16
366,01/02/2019,03:00,N,HB_HUBAVG,23.2
380,01/02/2019,04:00,N,HB_HUBAVG,22.91
394,01/02/2019,05:00,N,HB_HUBAVG,25.09
408,01/02/2019,06:00,N,HB_HUBAVG,28.65
422,01/02/2019,07:00,N,HB_HUBAVG,39.13
436,01/02/2019,08:00,N,HB_HUBAVG,39.06
450,01/02/2019,09:00,N,HB_HUBAVG,36.26
464,01/02/2019,10:00,N,HB_HUBAVG,39.55
478,01/02/2019,11:00,N,HB_HUBAVG,40.25
492,01/02/2019,12:00,N,HB_HUBAVG,37.33
506,01/02/2019,13:00,N,HB_HUBAVG,34.61
520,01/02/2019,14:00,N,HB_HUBAVG,34.87
534,01/02/2019,15:00,N,HB_HUBAVG,34.84
548,01/02/2019,16:00,N,HB_HUBAVG,34.65
562,01/02/2019,17:00,N,HB_HUBAVG,36.45
576,01/02/2019,18:00,N,HB_HUBAVG,64.67
590,01/02/2019,19:00,N,HB_HUBAVG,66.72
604,01/02/2019,20:00,N,HB_HUBAVG,40.92
618,01/02/2019,21:00,N,HB_HUBAVG,40.1
632,01/02/2019,22:00,N,HB_HUBAVG,35.37
646,01/02/2019,23:00,N,HB_HUBAVG,31.53
660,01/02/2019,24:00,N,HB_HUBAVG,26.41
674,01/03/2019,01:00,N,HB_HUBAVG,26.5
688,01/03/2019,02:00,N,HB_HUBAVG,24.08
702,01/03/2019,03:00,N,HB_HUBAVG,24.64
716,01/03/2019,04:00,N,HB_HUBAVG,24.15
730,01/03/2019,05:00,N,HB_HUBAVG,24.27
744,01/03/2019,06:00,N,HB_HUBAVG,29.81
758,01/03/2019,07:00,N,HB_HUBAVG,55.11
772,01/03/2019,08:00,N,HB_HUBAVG,40.24
786,01/03/2019,09:00,N,HB_HUBAVG,35.26
800,01/03/2019,10:00,N,HB_HUBAVG,35.63
814,01/03/2019,11:00,N,HB_HUBAVG,32.79
828,01/03/2019,12:00,N,HB_HUBAVG,29.89
842,01/03/2019,13:00,N,HB_HUBAVG,27.77
856,01/03/2019,14:00,N,HB_HUBAVG,26.51
870,01/03/2019,15:00,N,HB_HUBAVG,23.81
884,01/03/2019,16:00,N,HB_HUBAVG,24.49
898,01/03/2019,17:00,N,HB_HUBAVG,27.16
912,01/03/2019,18:00,N,HB_HUBAVG,41.4
926,01/03/2019,19:00,N,HB_HUBAVG,44.77
940,01/03/2019,20:00,N,HB_HUBAVG,34.8
954,01/03/2019,21:00,N,HB_HUBAVG,33.82
968,01/03/2019,22:00,N,HB_HUBAVG,30.14
982,01/03/2019,23:00,N,HB_HUBAVG,27.12
996,01/03/2019,24:00,N,HB_HUBAVG,23.63
1010,01/04/2019,01:00,N,HB_HUBAVG,22.22
1024,01/04/2019,02:00,N,HB_HUBAVG,22.2
1038,01/04/2019,03:00,N,HB_HUBAVG,21.34
