,Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price
2,1/1/2021,1:00,N,SPP_MEAN,20.68263269
17,1/1/2021,2:00,N,SPP_MEAN,19.11215
32,1/1/2021,3:00,N,SPP_MEAN,18.71314197
47,1/1/2021,4:00,N,SPP_MEAN,17.67998443
62,1/1/2021,5:00,N,SPP_MEAN,16.78986828
77,1/1/2021,6:00,N,SPP_MEAN,14.83920338
92,1/1/2021,7:00,N,SPP_MEAN,17.19739388
107,1/1/2021,8:00,N,SPP_MEAN,16.58773952
122,1/1/2021,9:00,N,SPP_MEAN,16.26223771
137,1/1/2021,10:00,N,SPP_MEAN,15.74522743
152,1/1/2021,11:00,N,SPP_MEAN,16.62156577
167,1/1/2021,12:00,N,SPP_MEAN,17.23539903
182,1/1/2021,13:00,N,SPP_MEAN,18.01140117
197,1/1/2021,14:00,N,SPP_MEAN,19.78971024
212,1/1/2021,15:00,N,SPP_MEAN,20.85714415
227,1/1/2021,16:00,N,SPP_MEAN,22.01249047
242,1/1/2021,17:00,N,SPP_MEAN,21.84237081
257,1/1/2021,18:00,N,SPP_MEAN,21.33590883
272,1/1/2021,19:00,N,SPP_MEAN,20.07725767
287,1/1/2021,20:00,N,SPP_MEAN,20.28040691
302,1/1/2021,21:00,N,SPP_MEAN,20.33016021
317,1/1/2021,22:00,N,SPP_MEAN,21.52421495
332,1/1/2021,23:00,N,SPP_MEAN,23.07420409
347,1/1/2021,24:00:00,N,SPP_MEAN,27.9116862
362,1/2/2021,1:00,N,SPP_MEAN,27.34052163
377,1/2/2021,2:00,N,SPP_MEAN,27.31221132
392,1/2/2021,3:00,N,SPP_MEAN,26.43904058
407,1/2/2021,4:00,N,SPP_MEAN,26.85341045
422,1/2/2021,5:00,N,SPP_MEAN,26.4201914
437,1/2/2021,6:00,N,SPP_MEAN,24.38341932
452,1/2/2021,7:00,N,SPP_MEAN,23.95248683
467,1/2/2021,8:00,N,SPP_MEAN,22.93531847
482,1/2/2021,9:00,N,SPP_MEAN,22.68511663
497,1/2/2021,10:00,N,SPP_MEAN,22.3352167
512,1/2/2021,11:00,N,SPP_MEAN,23.24748971
527,1/2/2021,12:00,N,SPP_MEAN,24.12252069
542,1/2/2021,13:00,N,SPP_MEAN,24.26305907
557,1/2/2021,14:00,N,SPP_MEAN,27.33487657
572,1/2/2021,15:00,N,SPP_MEAN,26.45657599
587,1/2/2021,16:00,N,SPP_MEAN,28.12700769
602,1/2/2021,17:00,N,SPP_MEAN,26.34285877
617,1/2/2021,18:00,N,SPP_MEAN,24.29513181
632,1/2/2021,19:00,N,SPP_MEAN,22.94114233
647,1/2/2021,20:00,N,SPP_MEAN,22.38906241
662,1/2/2021,21:00,N,SPP_MEAN,21.12927674
677,1/2/2021,22:00,N,SPP_MEAN,20.55565105
692,1/2/2021,23:00,N,SPP_MEAN,21.27219347
707,1/2/2021,24:00:00,N,SPP_MEAN,24.55333417
722,1/3/2021,1:00,N,SPP_MEAN,22.14667523
737,1/3/2021,2:00,N,SPP_MEAN,19.52179832
752,1/3/2021,3:00,N,SPP_MEAN,18.95844147
767,1/3/2021,4:00,N,SPP_MEAN,18.32573754
782,1/3/2021,5:00,N,SPP_MEAN,18.29020928
797,1/3/2021,6:00,N,SPP_MEAN,17.63128328
812,1/3/2021,7:00,N,SPP_MEAN,18.6440263
827,1/3/2021,8:00,N,SPP_MEAN,19.08114177
842,1/3/2021,9:00,N,SPP_MEAN,20.33741375
857,1/3/2021,10:00,N,SPP_MEAN,20.19178515
872,1/3/2021,11:00,N,SPP_MEAN,19.93487658
887,1/3/2021,12:00,N,SPP_MEAN,19.51709868
902,1/3/2021,13:00,N,SPP_MEAN,20.8462383
917,1/3/2021,14:00,N,SPP_MEAN,23.6473576
932,1/3/2021,15:00,N,SPP_MEAN,25.35617687
